Pulau Kalimantan, Latitude, Longtitude
Provinsi Jawa Barat, -6.9032892, 107.6341106
Provinsi Jawa Tengah, -7.150125, 110.494655
Provinsi Jawa Timur, -7.5360639, 112.2384017
Provinsi Banten, -6.4058172, 106.0640179
